pagename,osm_id,osm_type,osm_lon,osm_lat,wiki_lon,wiki_lat,distance,intersects
Chiesa_di_San_Marcuola,138843630,polygon,12.3286704089,45.4429166423,12.328654,45.442754,18.1216659172,False
Chiesa_di_Sant'Antonio_in_Boccadasse,44116050,polygon,8.97334128559,44.3897596801,8.97339722222,44.3899222222,18.6034425236,False
Basilica_di_San_Marco_Evangelista_al_Campidoglio,-1892856,line,None,None,12.481568,41.895998,-1,False
Chiesa_del_Redentore,154856677,polygon,12.3323886161,45.4249690455,12.332379,45.424901,7.59993555287,True
Cattedrale_di_San_Pietro_(Frascati),138183043,polygon,12.6812466846,41.8075705166,12.6812466846,41.8075705166,0.0,True
Chiesa_del_Santo_Volto_%28Torino%29,82166004,polygon,7.66205880998,45.0927170089,7.66205880998,45.0927170089,0.0,True
Chiesa_del_Santissimo_Crocifisso_(San_Miniato),166060331,polygon,10.8523050828,43.6799885906,10.8523333333,43.6799722222,2.9149147783,True
Chiesa_di_San_Francesco_della_Vigna,138804531,polygon,12.3479744656,45.4382162417,12.348638,45.438153,52.3909044727,False
Basilica_di_San_Paolo_Maggiore,-1686645,polygon,14.2569631374,40.8513077357,14.25683,40.85144,18.487236244,True
Chiesa_di_Santa_Caterina_(Livorno),121984159,polygon,10.3082178851,43.5548635531,10.308287,43.554955,11.5937993656,True
Chiesa_di_Santa_Maria_presso_San_Satiro,45671470,polygon,9.18778642155,45.4627111186,9.18803333333,45.4626472222,20.5752721195,False
Cattedrale_di_Santa_Maria_Assunta_e_di_San_Genesio,166057438,polygon,10.8517038323,43.6796514892,10.8515305556,43.6796333333,14.1172904303,True
Battistero_di_San_Giovanni_(Volterra),162389647,polygon,10.8583594044,43.4016133783,10.8582416667,43.4017138889,14.6855133854,False
Pieve_di_San_Frediano_a_Montignoso,164912571,polygon,10.9009633095,43.495126619,10.9009694444,43.4951388889,1.45071714831,True
Basilica_dei_Santi_Ambrogio_e_Carlo_al_Corso,25619192,polygon,12.4779597993,41.9053063237,12.478075,41.9053777778,12.4239682558,True
Basilica_di_San_Clemente_al_Laterano,-326080,polygon,12.4975675257,41.8893186131,12.4975,41.8894444444,15.0579654109,True
Chiesa_di_San_Zeno_(Pisa),137827225,polygon,10.4078238562,43.7231268785,10.4075305556,43.723,27.5186786949,False
Basilica_di_San_Crisogono,139900092,polygon,12.4735007941,41.8891086638,12.47379,41.889178,25.207695433,True
Chiesa_di_San_Matteo_(Livorno),153593152,polygon,10.3274093535,43.560885571,10.3269388889,43.5610166667,40.7063344519,False
Chiesa_di_Santa_Maria_dell'Orto,203001006,polygon,12.4746669966,41.8867905406,12.474981,41.886895,28.5274579764,False
Chiesa_dei_Santi_Jacopo_e_Martino,163104507,polygon,10.7038326115,43.8976702659,10.7038888889,43.8977083333,6.19149001723,False
Chiesa_di_San_Salvatore_ai_Monti,202027320,polygon,12.4898431589,41.8943811245,12.489741,41.894563,21.9080102298,False
Basilica_di_San_Lorenzo_Maggiore,123122218,polygon,14.258027079,40.8509124914,14.25812,40.85093,8.07315108284,True
Chiesa_dei_Santi_Bartolomeo_e_Silvestro,165230084,polygon,10.7145474808,43.8909408033,10.7146388889,43.8909444444,7.35604492657,True
Basilica_di_Santa_Maria_sopra_Minerva,25400176,polygon,12.478344424,41.8979889565,12.4783333333,41.8980555556,7.45428158299,True
Chiesa_Nuova,29181216,polygon,12.4691984558,41.8984615191,12.4692,41.89852,6.49681417367,True
Duomo_di_Pescia,143621795,polygon,10.6923392072,43.9010121964,10.6922222222,43.9009722222,10.3951588445,True
Chiesa_di_San_Teodoro_al_Palatino,-1850143,polygon,12.4846923265,41.8904979659,12.4847222222,41.8902777778,24.5820803024,False
Chiesa_di_Santa_Maria_Antiqua,-1767590,polygon,12.4856036534,41.891058061,12.4855555556,41.8909722222,10.3361111092,False
Chiesa_di_San_Giovanni_Battista_(Livorno),762754865,point,10.3068340667,43.5519743737,10.306774,43.552016,6.70437476,True
Ceson_di_San_Pietro_in_Valle,200427191,polygon,11.0631006846,45.137255919,11.0629589,45.1371463,16.5164015378,False
Chiesa_di_San_Giovanni_Battista_dei_Genovesi,203136381,polygon,12.475326395,41.8880767046,12.475564,41.888054,19.8808091793,True
Chiesa_di_Gesù_e_Maria_(Roma),60616956,polygon,12.4778175171,41.9080262943,12.477609,41.908009,17.406970767,True
Chiesa_dei_Girolamini,123028910,polygon,14.2583501773,40.8520459656,14.25839,40.851884,18.2972228945,True
Basilica_di_San_Vincenzo_in_Prato,46181316,polygon,9.1739901592,45.4576799283,9.173869,45.457665,9.62080353196,True
Abbazia_di_San_Pietro_al_Monte,357606439,point,9.31931355962,45.8347628812,9.319442,45.834765,9.98176875468,True
Chiesa_della_Santissima_Annunziata_(Pescia),174434994,polygon,10.6881536702,43.9038069995,10.688088,43.903725,10.5281923114,True
Chiesa_dei_Santi_Giusto_e_Clemente_(San_Giusto_Nuovo),162407936,polygon,10.8507230503,43.4109127859,10.8505166667,43.4109444444,17.0821695652,False
Duomo_di_Cremona,73881812,polygon,10.0256083343,45.133551601,10.0255,45.1335,10.2717990443,True
Chiesa_di_Sant'Andrea_(Palaia),165879085,polygon,10.7705544318,43.6044689547,10.7705555556,43.6044722222,0.374200565149,True
Prepositura_di_San_Michele_Arcangelo_(Chiusdino),165253167,polygon,11.0875115453,43.1548093481,11.0875277778,43.1548055556,1.38588401888,True
Chiesa_di_Santa_Maria_dei_Miracoli_(Roma),60517021,polygon,12.4764523914,41.9097573902,12.4764416667,41.909775,2.1488325231,True
Basilica_dei_Santi_Quattro_Coronati,202880841,polygon,12.4981085614,41.8882451569,12.4983333333,41.8883333333,21.0696638908,False
Chiesa_di_Sant'Angelo_a_Segno,183326738,polygon,14.2560782667,40.850752153,14.25617,40.85068,11.137279003,False
Chiesa_di_Sant'Eustorgio_(Arcore),26694641,polygon,9.32605838479,45.6270553066,9.32616949081,45.6270152794,9.7396849708,True
Chiesa_dei_Santi_Rocco_e_Domenico,1815327957,point,12.2972713965,45.8857749359,12.297195,45.88592,17.1796668937,True
Chiesa_di_San_Giorgio_(Portofino),204693129,polygon,9.211501849,44.3014088725,9.21156388889,44.3014555556,7.17064351887,False
Basilica_di_Santa_Prassede,-326010,polygon,12.4987589874,41.8961866841,12.4986111111,41.8961111111,14.8677620699,True
Chiesa_dei_Santi_Alberto_e_Teresa,79299284,polygon,14.2527042965,40.8442368971,14.252735,40.84422,3.19774634564,True
Basilica_di_San_Pietro_di_Castello,138800730,polygon,12.3598753084,45.4345454011,12.3596,45.43458,21.8829872216,True
Rotonda_di_San_Lorenzo,93117520,polygon,10.7945954176,45.158191026,10.7944444444,45.1580555556,19.1725743055,False
Chiesa_di_San_Martino_(Portofino),83080051,polygon,9.20915954539,44.3039100838,9.20941666667,44.3038388889,21.9895212683,True
Chiesa_di_Sant'Andrea_dei_Vascellari,202980177,polygon,12.4777034156,41.8881935439,12.477737,41.888185,2.94447499902,True
Basilica_di_San_Pietro_in_Vincoli,201882369,polygon,12.4931663601,41.8938794486,12.4930694444,41.8938722222,8.08281836729,True
Chiesa_di_Santa_Maria_Immacolata_a_via_Veneto,203946249,polygon,12.4886034489,41.9050234806,12.4886666667,41.9046388889,43.038003511,False
Basilica_di_Santa_Sabina,50842360,polygon,12.4797883316,41.8844757357,12.4797222222,41.8844444444,6.49522027421,True
Chiesa_di_San_Jacopo_al_Tempio,182495737,polygon,11.0457524171,43.4705767593,11.0457555556,43.4705361111,4.52322736361,False
Basilica_di_San_Nazaro_in_Brolo,24971631,polygon,9.19273399774,45.4587973221,9.192767,45.458846,5.99434126887,True
Duomo_di_Pienza,53274384,polygon,11.6788287371,43.0762381586,11.6791638889,43.0763555556,30.2506405273,False
Abbazia_di_San_Pietro_a_Cerreto,164077004,polygon,11.0162204327,43.5442039916,11.0161777778,43.5441638889,5.63343091616,True
Chiesa_di_San_Francesco_(San_Miniato),166057440,polygon,10.8544521222,43.681794006,10.8544722222,43.6818055556,2.06723563805,True
Basilica_della_Santissima_Annunziata_del_Vastato,25369505,polygon,8.92830024413,44.41428205,8.92833333333,44.4141666667,13.0894822818,True
