pagename,osm_id,osm_type,osm_lon,osm_lat
Pieve_dei_Santi_Jacopo_e_Filippo,163742943,polygon,10.9572113071,43.2651564341
Chiesa_di_San_Marcello_al_Corso,52458908,polygon,12.4819905563,41.8986923351
Chiesa_di_Santa_Maria_delle_Grazie_(Zafferana_Etnea),146026711,polygon,15.1060952296,37.6943991664
Chiesa_della_Pietà_(Venezia),138803298,polygon,12.3449414077,45.434201642
Chiesa_dell'Addolorata_alla_Pigna,183993508,polygon,14.2203207235,40.8504466092
Cuba_bizantina,203501362,polygon,15.1038192943,37.8878075915
Itri#Santa_Maria_Maggiore,160680006,polygon,13.5323923279,41.2912433638
Santa_Maria_di_Leuca#Basilica_.22Santa_Maria_De_Finibus_Terrae.22,1170709620,point,18.3689275385,39.7964693475
Chiesa_di_San_Martino_(Burano),176657474,polygon,12.4187803804,45.4841773104
Collegiata_di_Sant'Agata_(Santhià),60047967,polygon,8.17469271918,45.3665689633
Duomo_di_Portobuffolè,185307560,polygon,12.5379930005,45.8536134417
Santa_Maria_presso_San_Celso#Chiesa_di_San_Celso,165090405,polygon,9.18781824357,45.4543184198
Chiesa_di_San_Miniato_in_Marcianella,2144306208,point,10.5241138964,43.6741904722
Santuario_di_San_Martino,209428989,polygon,9.22167360901,45.5507423333
Chiesa_della_Madonna_della_Croce_(Viggiù),140422241,polygon,8.90886698125,45.8720494596
Chiesa_dei_Santi_Vincenzo_e_Anastasio_a_Trevi,201721148,polygon,12.483898398,41.9006824909
Chiesa_di_San_Marco_in_San_Girolamo,612207391,point,11.5428343307,45.5525307331
Chiesa_di_San_Martino_(Chiusdino),165253165,polygon,11.0873574002,43.1543385229
Chiesa_del_Sacro_Cuore_di_Gesù_agonizzante,156496345,polygon,12.4068268512,41.7910842121
Chiesa_di_Santa_Maria_d'Itria,202304431,polygon,12.4859193249,41.9031166308
Cattedrale_di_Santa_Maria_Annunciata,-2956899,polygon,11.5438701836,45.5463171151
