osm_id,name,type
2027988199,Chiesa dei Marinelli,point
95497135,Chiesa del Monte Carmelo,polygon
203570005,Convento dei Padri Cappuccini,polygon
1104385602,Cappella di S.Anna,point
75495357,Chiesa di Santa Maria Assunta,polygon
808510860,Kapuzinerkirche,point
171959437,Chiesa di San Giacomo Maggiore,polygon
2163096476,Ex oratorio della Beata Vergine Addolorata,point
87704520,Chiesa di S. Giovanni Battista e S. Maria Assunta,polygon
148126025,Santi Apostoli San Pietro e San Paolo,polygon
151931105,Chiesa di Santa Maria Foris Portam,polygon
2316757659,Cappella XXXII,point
1894365136,Chiesa di San Pietro in Gu,point
191922266,Chiesa Santa Rosalia,polygon
218168803,Santuario della Madonna Addolorata,polygon
216678123,San Francesco,polygon
36686877,S. Lorenzo,polygon
176251844,Chiesa di Santa Caterina in Villa,polygon
138803207,San Canciano,polygon
1699503536,Chiesa parrocchiale San Giovanni Evangelista,point
180732022,Chiesa di Santa Margherita,polygon
1334285537,Chiesa di San Nicola a Nilo,point
36686822,S. Girolamo,polygon
-1717364,Santa Giuliana,polygon
621512589,S. Barbara,point
154891914,Grotta di Lourdes,polygon
1118795537,Madonna del Sorbo,point
157574795,Chiesa di Santa Maria della Consolazione,polygon
1723282920,Chiesa di San Giovanni Battista,point
204216884,Santuario N.S. della Vittoria,polygon
597890731,Cattedrale di San Giuseppe,point
1320723611,Chiesa di San Rocco,point
197949935,Chiesa di San Domenico,polygon
382386190,Santa Teresa del Bambin Gesù,point
36686890,S. Rocco,polygon
221808106,Chiesa di San Pietro,polygon
123519124,Santa Maria delle Anime del Purgatorio ad Arco,polygon
36687125,S. Martino,polygon
2315600173,Cappella IV,point
302113089,St. Lucius,point
29181216,Chiesa Nuova,polygon
518694541,Chiesa del buon pastore,point
191842605,Sala del Regno dei Testimoni di Geova,polygon
163104507,Arcipretura Santi Jacopo e Martino,polygon
195545112,Convento suore clarisse,polygon
36687740,Chiesa di San Bartolomeo,polygon
36684672,Chiesa di San Francesco,polygon
598985228,Chiesa di San Rocco,point
2184339346,Chiesa di Santo Stefano,point
1588197385,Chiesa Cristiana Evangelica,point
201236757,Cattedrale,polygon
1695925139,Santa Cristina,point
2159152281,Chiesa dei SS. Fermo e Rustico (nuova),point
1248564250,Santuario della Sassella,point
1890288517,Santa Maria delle Grazie in San Pietro,point
131987136,Santissima Trinità,polygon
176210611,Chiesa S.Pietro,polygon
2238388998,Chiesa di San Francesco,point
149656728,Santuario di Greccio,polygon
198986892,Suore delle Poverelle - Residenza S. Angeli,polygon
198182438,Chiesa di San Maurizio,polygon
154949227,Pfarrei Matsch,polygon
156324236,Sacro Cuore,polygon
147939788,Chiesa di San Giuseppe,polygon
1438233201,Chiesetta al forno,point
2020613899,Chiesa di Pianzo,point
77451520,Chiesa della Maddalena,polygon
909576236,Santa Lucia,point
72447196,Chiesa di San Michele Arcangelo,polygon
183561508,Chiesa di San Martino di Tours,polygon
163595003,Chiesa della Collegiata,polygon
1540793531,Chiesa Maria Santissima Liberatrice Dai Flagelli,point
1011194058,Basilica di San Francesco,point
205214696,San Domenico,polygon
126760154,Chiesa di San Rocco,polygon
743459504,S Flaviano,point
36687899,Madonna di Rencon,polygon
773616112,Chiesa di San Luca,point
327471593,Madonna della Neve,point
206004082,Madonna della Gelata,polygon
806453147,Chiesa di Civago,point
541189208,Cappella di Ceppeto,point
864850050,San Giovanni Battista,point
121382455,Santa Brigida,polygon
60837908,Chiesa della Visitazione,polygon
1118382069,Santuario Maria Salus Infirmorum,point
1563680164,San Giuseppe,point
166230361,Chiesa di Sant'Anna,polygon
304079580,Madonna Del Cavotore,point
105950886,San Nicolò Mirense,polygon
203302566,Chiesa di Santa Maria Assunta,polygon
619532239,Chiesa di Schiavonia,point
2234101430,Chiesa San Giovanni,point
137538163,sant antonio abate,polygon
118455249,Parrocchia dell'Assunta,polygon
171621459,Parrocchia Cristo Re,polygon
205669753,Chiesa di Porto Tolle,polygon
129021266,Chiesa di San Vito,polygon
41875169,St. Michael,polygon
37027017,Chiesa San Pietro,polygon
201040883,Chiesa di San Martino,polygon
204329542,Chiesa Parrocchiale di Fornaci,polygon
97664826,Santissimo Redentore,polygon
216190781,Chiesa San Filippo,polygon
193892142,Chiesa San Biagio,polygon
96934798,Sacre Stimmate,polygon
1577376613,Piazza Padre Pio Da Pietrelcina,point
767502709,Santa Maria Assunta,point
1416627038,Convento dei Cappuccini,point
152699644,Parrocchia Madonna Della Strada,polygon
174083475,Cappella di Sant'Agata,polygon
135642177,Cattedrale,polygon
202704935,Sacro Cuore del Suffragio,polygon
164908497,Cappella della Crucifissione,polygon
54044477,Chiesa di Trinità dei Monti,polygon
172576539,Cattedrale di San Pancrazio,polygon
86257075,Duomo,polygon
1438184554,San Floriano,point
198216422,ss.salvatore,polygon
182488704,Santa Maria Addolorata,polygon
65674751,Salus Infirmorum,polygon
260562481,S. Maria della Speranza,point
434516235,Basilica Pontificia Di S.Gennaro Ad Antignano,point
106572053,Madonna di Petello,polygon
123530591,Sant’Angelo in Pescheria,polygon
49773335,Chiesa del Carmine Maggiore,polygon
167041904,Chiesa di San Benedetto,polygon
1730349377,Chiesa di San Rocco,point
2233869597,Chiesa del Rosario,point
205979330,Chiesa di Loreto,polygon
734916347,Chiesa Parrocchiale,point
673003854,Chiesa di Sant'Andrea Apostolo,point
36687486,S. Antonio del Piel,polygon
47053496,Chiesa di Santo Stefano,polygon
36684771,Basilica di Santa Maria Assunta,polygon
2151929456,Chiesa di San Giacomo Maggiore e Maria Santissima Immacolata,point
1769980368,Oratorio di San Pietro,point
198227874,Chiesa di San Giorgio,polygon
183334564,Basilica dello Spirito Santo,polygon
2201610020,Chiesa San Basilio,point
164286670,Chiesa di San Francesco dei Mercanti,polygon
289075096,San Girolamo,point
616807103,Parrocchia Annunciazione,point
1438182189,Chiesa Cà Baroncello,point
195150641,Chiesa di San Biagio,polygon
38456058,La Collegiata,polygon
1751131170,Santa Croce,point
1693177501,Chiesa della Madonnetta,point
167017277,Chiesa di San Martino Vescovo,polygon
423777854,San Giovanni Bosco,point
1459105591,Madonna della Stua,point
36687917,Chiesa di Sant'Orsola,polygon
25828898,Chiesa di Santa Rita,polygon
168532291,Chiesa di S. Rocco,polygon
1154419225,Parrocchia SS Angeli Custodi,point
183085468,Chiesa di Campo di Alano,polygon
1132157605,Madonna del Carmelo,point
1606469605,Duomo,point
860150369,Chiesa del Carmine,point
127282528,Chiesa di Sant'Antonio da Padova,polygon
167754157,Madonna dell'Aiuto,polygon
-121733,Pfarrkirche Sankt Michael,polygon
36686692,S. Giovanni eremita,polygon
685777858,San Francesco,point
207331323,Chiesa di Santa Maria assunta,polygon
1453795017,Chiesa di Specchio,point
128350364,Parrocchia dello Spirito Santo,polygon
195537121,Chiesa di San Domenico Savio,polygon
36433299,Chiesa della Beata Vergine delle Grazie,polygon
200594339,Chiesa di Santa Maria Crocifissa di Rosa,polygon
1505648644,Chiesa di Sant'Ambrogio,point
132215653,Santuario della Monta,polygon
874322218,Piazza don orione,point
665743403,Santa Maria Annunciata,point
1545004795,Chiesa di San Francesco,point
139875367,Chiesa di San Nicola,polygon
184820571,Cuore immacolato di Maria,polygon
36686483,Chiesa di San Giorgio,polygon
185589841,"Parrocchia ""Sant'Alfonso Maria de' Liguori""",polygon
112665810,S. Protasio e Gervasio,polygon
107373503,Chiesa di Santa Croce,polygon
80885137,Chiesa di Santa Lucia,polygon
835163297,Chiesa di Pieve S. Vincenzo,point
505539703,Seminario diocesano,point
191911741,Parrocchia Sacra Famiglia,polygon
905785227,"Oratorio di ""Santo Stefano""",point
1789857762,Madonna,point
135710623,Chiesa,polygon
174530774,Evangelische Kapelle,polygon
1156136770,Cappella di Lanzore,point
1399778777,Chiesa di S. Germano,point
1621296188,S. Francesco,point
428291734,Capp.la Cote Rouge,point
2171285011,Chiesa di San Rocco,point
2261281267,Chiesa di Quargnenta,point
203501000,Santa Vittoria,polygon
146019268,Duomo di Lonato,polygon
81064448,San Rocco,polygon
107445389,Pieve di San Cresci,polygon
158963472,Chiesa Parrocchiale di Paderno del Grappa,polygon
472481724,Cappella del Palazzo Reale di Portici,point
1406947814,Chiesa di San Giacomo,point
1511864690,San Pio X,point
129796144,Madonna di Campagna,polygon
144939721,Santuario di santa Marta,polygon
162665027,Chiesa di San Rocco,polygon
850426788,Wegkreuz,point
153950683,Chiesa di Santa Maria della Calispera,polygon
108096348,Chiesa SS.Lucio e Amanzio,polygon
2197929719,S.Lucia,point
138896228,Sant'Anna,polygon
180134079,Sant'Anna,polygon
127282521,Chiesa Madre,polygon
276393226,Chiesa San Antonio ai Ferrovieri,point
36687026,S. Urbano,polygon
120312358,San Mauro abate,polygon
204474079,Chiesa Parrocchiale di S. Remigio,polygon
112451083,Chiesa di San Pietro e Paolo,polygon
70259362,Chiesa San Tommaso,polygon
1829560621,Chiesa di San Michele,point
748142320,Santa Maria Anunziata,point
36686331,Santuario sacrario caduti e dispersi in Russia,polygon
288728194,Santa Valeria,point
153409138,San Lorenzo ad Septimum,polygon
201972048,Santa Maria del Buon Consiglio,polygon
79827344,Chiesa di San Benedetto,polygon
2151569004,cappella di Sant'Anna,point
2171687581,Chiesa di S. Rita,point
109729478,Chiesa die S. Nicola,polygon
382229119,San Martino Vescovo,point
2234087680,Chiesa di San Domenico,point
1763673267,Chiesa Pardesca Vecchia,point
165483744,Chiesa,polygon
165259516,Chiesa di Sant'Urbano Papa e Martire,polygon
207563976,Maria Assunta,polygon
929267688,San Tommaso,point
1701043202,S.Francesco,point
209354780,Ancona dei Scevoi,polygon
-2051633,Santi Domenico e Sisto,polygon
202879042,San Tommaso in Formis all’Arco di Dolabella,polygon
105495953,Chiesa Sant'Antonio,polygon
1782118441,Sant'Eligio,point
