osm_id,name,religion,denomination,type
290182386,Abbazia del Goleto,,,point
210266383,S. Giovanni,,,polygon
162470253,S. Maria dei Raccomandati,,,polygon
45407666,Statua della madonna,,,polygon
83080051,Chiesa di San Martino,,,polygon
132523031,Santa Maria della Salute,,,polygon
2166887289,Chiesa,,,point
164908482,Le pie donne,,,polygon
205681391,Oratorio salesiano S.Giusto,,,polygon
162430582,Eremo di Sant'Alberto,,,polygon
165491994,Ex chiesa di San Vittore,,,polygon
54881865,Capella Cimitero,,,polygon
1944932058,Chiesa Collegiata di San Giovanni Battista,,,point
1928641605,Ai Caduti della Balconia,,,point
164908479,Cappella della Fuga in Egitto,,,polygon
1722158543,Santa Maria,,,point
197239309,Sacello dei Santi Martiri,,,polygon
182992858,Chiesetta,,,polygon
69184323,San Ulderico,,,polygon
1944792540,Chiesa della Beata Vergine delle Grazie,,,point
200916252,Santuario Madonna del Sasso,,,polygon
122244924,Basilica S. Bassiano,,,polygon
1340063776,Altare,,,point
2308187999,Chiesa s.Marta,,,point
181442767,San Pietro,,,polygon
164958728,Oratorio Anzilotti,,,polygon
166230360,Chiesa di San Martino a Carcheri,,,polygon
2036648045,Chiesa di S. Martino,,,point
1425051497,Parrocchia Santissima Trinità,,,point
2158926494,Ex oratorio della Santissima Trinità,,,point
173623515,Chiesa,,,polygon
-2078954,Sacra Famiglia,,,polygon
1944950171,Chiesa di Caprignone,,,point
45274219,S. Erasmo,,,polygon
1251037335,Monastero del Corpus Domini,,,point
1223131226,Chiesa di San Gennaro,,,point
347414222,Chiesa di S.Abbondio,,,point
222475004,S. Antonio Abate,,,polygon
120360051,Clarisse,,,polygon
571669416,Castellina,,,point
164908493,Casa di Pilato,,,polygon
205681387,Chiesa Parrocchiale Donada,,,polygon
166230361,Chiesa di Sant'Anna,,,polygon
154216565,Santa Maria della Corla,,,polygon
2110838903,S. Maria Maddalena,,,point
154078887,Cattolica,,,polygon
167306205,Chiesa di San Domenico,,,polygon
161212128,Valle Bona,,,polygon
146181272,Madonna del Carmine,,,polygon
149057321,San Rocco,,,polygon
1532952585,Chiesa di Agna,,,point
986549725,Parrocchia Santa Famiglia,,,point
170168040,Santuario Madonna di Ripoli,,,polygon
196119082,Madonna dell'Ulivo,,,polygon
162609507,Chiesa di Santa Maria Alemanna,,,polygon
2160053686,Ex oratorio di Sant'Albino,,,point
119326003,SS. Pietro e Costanzo,,,polygon
91570133,San Michele di Coronata,,,polygon
200514087,Chiesa S. Sebastiano,,,polygon
160711256,Ossario,,,polygon
114133811,Santo Stefano,,,polygon
1978988158,Chiesa del Sacro Cuore di Gesu,,,point
404728794,Duomo,,,point
216190781,Chiesa San Filippo,,,polygon
214395295,Chiesa Madonna del Carmelo,,,polygon
189037527,Chiesa S.Maria Assunta (Fiumana Predappio),,,polygon
1869575962,Chiesa di Santa Chiara,,,point
178598991,San Sisto,,,polygon
179713272,Chiesa Parrocchiale di Bannone,,,polygon
